Species,Lat,Long
colubrina,-8.495462763,119.759903
colubrina,6.936465,125.721687
colubrina,-5.47422863,123.6356585
colubrina,-17.12368833,179.0729967
colubrina,13.66367235,122.784732
colubrina,-16.5228223,167.8613072
colubrina,23.1261358,121.4216802
colubrina,-17.84439167,177.1834417
colubrina,12.53193939,124.0919924
colubrina,13.682195,120.8937917
colubrina,-19.71162823,-174.2790393
colubrina,11.62958873,92.75663008
colubrina,-8.274978333,122.70457
colubrina,-18.084625,179.2625333
colubrina,0.956319645,126.1521853
colubrina,-18.20339775,177.670929
colubrina,-21.06832623,-175.3333832
colubrina,-8.50580132,114.9585955
colubrina,-8.399001659,119.263446
colubrina,-1.157529174,100.3684072
colubrina,9.963925607,125.0643022
colubrina,-8.71684167,116.0068139
colubrina,10.318478,124.036148
colubrina,-8.101647288,114.5120817
colubrina,9.785183333,125.5418783
colubrina,1.223674465,103.8612108
colubrina,-17.72809097,168.2616779
colubrina,-11.82573324,160.4307945
colubrina,-8.284985658,124.3715083
colubrina,22.07490565,121.5685982
colubrina,1.440011687,125.2545852
colubrina,-4.334791782,151.9742994
colubrina,2.278364569,118.5773158
colubrina,7.303762003,99.256187
colubrina,11.19593801,119.3394466
colubrina,-16.68191258,-179.8738435
colubrina,6.483999448,99.3130535
colubrina,-4.490307357,129.9326023
colubrina,-18.15079353,178.4542208
colubrina,8.827396137,97.79592245
colubrina,12.69795833,120.4832167
colubrina,-0.87723985,131.2427972
colubrina,1.618739501,124.7018271
colubrina,-14.31095566,-178.1338023
colubrina,25.0158999,122.000329
colubrina,-19.50456175,169.2429118
colubrina,-17.25393057,178.1604552
colubrina,16.9711896,94.41786345
colubrina,-8.536557006,115.5089481
colubrina,15.37908506,121.4717913
colubrina,-0.830467586,119.8793674
colubrina,9.53013451,123.7991058
colubrina,-2.781205,129.044795
colubrina,-8.168195289,127.7876003
colubrina,11.962126,120.218342
colubrina,9.076628,123.267266
colubrina,-1.901336667,99.31386667
colubrina,8.103876824,98.68305841
colubrina,-16.98041333,179.8784467
colubrina,-5.494549623,102.2400004
colubrina,9.3944821,97.88058429
colubrina,-2.19586361,130.4277188
colubrina,9.933955556,123.3770861
colubrina,2.814214207,104.148253
colubrina,6.970688131,116.8219177
colubrina,-17.80678417,178.7211489
colubrina,10.06295427,99.85705769
colubrina,-8.570697644,125.3302005
colubrina,-19.27688333,169.5943933
colubrina,-18.78481053,-174.6595648
colubrina,-9.001276029,160.126858
colubrina,-8.224963058,125.6103443
colubrina,-15.44545882,167.2281958
colubrina,-0.250850785,122.0660311
colubrina,24.38390833,123.7469333
colubrina,-18.43332219,178.0746383
colubrina,-8.437749845,117.3646353
colubrina,7.674375,98.76568667
colubrina,-5.644128364,120.4525002
colubrina,-2.596122773,150.7731601
colubrina,-2.073342553,123.8543583
colubrina,-1.570833095,123.4624459
colubrina,0.878710065,124.765503
colubrina,5.776249404,115.6439264
colubrina,-8.414649645,116.7102702
colubrina,-3.706944,128.103314
colubrina,10.45155146,122.4970634
colubrina,-5.805135708,123.9508525
colubrina,-3.643741045,128.7890161
colubrina,-17.35488291,177.1394923
colubrina,13.22239517,93.05204639
colubrina,14.31567408,122.6383834
colubrina,13.74002263,123.8706506
colubrina,17.59991805,94.57528152
colubrina,12.53725294,122.3672906
colubrina,10.34574366,97.96563838
colubrina,-6.979270442,115.9065801
colubrina,20.41203002,121.939166
colubrina,-8.858588981,116.5850756
colubrina,-8.43025492,157.9514835
colubrina,-0.535540459,130.5839677
colubrina,-5.16532951,145.8212319
colubrina,7.609608333,134.5610694
colubrina,9.723333611,124.5255117
colubrina,-5.514073708,122.5409982
colubrina,4.247804919,118.6339073
colubrina,-8.385013386,121.0549124
colubrina,0.378353333,131.0371388
colubrina,9.872101721,122.3780514
colubrina,-5.54354,130.31097
colubrina,11.32917217,124.1114077
colubrina,-9.216560761,152.9608088
colubrina,9.268837777,117.9863307
colubrina,12.89270688,121.7252461
colubrina,7.129633,134.237833
colubrina,6.008046,115.9909687
colubrina,11.97978833,121.8916376
colubrina,21.99642333,120.6914296
colubrina,-22.33497,166.40836
colubrina,4.88819,119.79394
colubrina,7.767422,98.29652046
colubrina,22.67511596,121.5044581
colubrina,9.25317283,124.6623178
colubrina,12.216667,93.033333
colubrina,-18.9634,178.452775
colubrina,-5.646671,132.638312
colubrina,23.254998,119.668094
colubrina,-22.31889,167.011673
colubrina,-8.386182506,127.2969436
colubrina,-8.06015,156.96698
colubrina,-0.256255382,98.37498887
colubrina,-0.839588692,135.0416541
colubrina,-0.922922022,136.1249874
colubrina,-1.089588682,134.2916541
colubrina,-1.089588682,135.6249874
colubrina,-1.506255332,149.5416535
colubrina,-1.756255322,134.3749874
colubrina,-1.839588652,136.791654
colubrina,-1.839588652,138.7916539
colubrina,-10.17292165,161.791653
colubrina,-10.17292165,166.2916528
colubrina,-10.5895883,152.6249867
colubrina,-10.67292163,150.6249868
colubrina,-10.75625496,123.2916545
colubrina,-10.83958829,161.8749863
colubrina,-10.92292162,151.0416534
colubrina,-11.25625494,159.7083197
colubrina,-14.83958813,166.7916528
colubrina,-15.5895881,-175.7083335
colubrina,-16.25625474,179.3749856
colubrina,-17.2562547,-178.875
colubrina,-18.33958799,-178.7083334
colubrina,-18.67292131,179.8749856
colubrina,-2.006255312,147.2916536
colubrina,-2.172921972,121.7083213
colubrina,-2.172921972,134.8749874
colubrina,-2.172921972,136.1249874
colubrina,-2.256255302,134.3749874
colubrina,-2.256255302,146.7083203
colubrina,-2.339588632,150.2083201
colubrina,-2.672921952,106.7916552
colubrina,-2.756255282,151.2916534
colubrina,-2.839588612,135.791654
colubrina,-2.922921942,141.9583205
colubrina,-20.08958792,-174.7083335
colubrina,-20.25625458,169.7916527
colubrina,-3.006255272,135.2083207
colubrina,-3.089588602,130.5416542
colubrina,-3.089588602,142.3749871
colubrina,-3.172921932,107.3749885
colubrina,-3.256255262,127.208321
colubrina,-3.839588572,126.5416544
colubrina,-4.506255212,152.45832
colubrina,-4.506255212,154.2916533
colubrina,-4.672921872,146.124987
colubrina,-5.006255192,150.0416535
colubrina,-5.172921852,154.45832
colubrina,-5.339588512,131.9583209
colubrina,-5.839588492,154.7083199
colubrina,-5.922921822,107.2083218
colubrina,-5.922921822,134.1249874
colubrina,-5.922921822,155.3749866
colubrina,-6.006255152,134.7916541
colubrina,-6.089588482,132.8749875
colubrina,-6.172921812,105.7083219
colubrina,-6.589588462,147.8749869
colubrina,-6.589588462,156.5416532
colubrina,-6.922921782,156.0416532
colubrina,-7.006255112,155.6249866
colubrina,-7.006255112,157.1249865
colubrina,-7.089588442,134.2916541
colubrina,-7.672921752,126.1249878
colubrina,-7.839588412,109.5416551
colubrina,-7.839588412,159.1249864
colubrina,-8.172921732,123.2916545
colubrina,-8.172921732,123.9583212
colubrina,-8.422921722,160.541653
colubrina,-8.506255052,122.2083212
colubrina,-8.506255052,151.1249868
colubrina,-8.756255042,160.9583197
colubrina,-9.089588362,152.5416534
colubrina,-9.172921692,124.1249878
colubrina,-9.256255022,161.291653
colubrina,-9.422921682,146.9583203
colubrina,-9.422921682,150.7083201
colubrina,-9.839588332,160.2916531
colubrina,-9.922921662,149.8749868
colubrina,0.327077928,103.958322
colubrina,0.493744588,104.9583219
colubrina,0.577077918,103.5416553
colubrina,0.743744578,127.2916544
colubrina,0.910411238,127.708321
colubrina,0.910411238,128.458321
colubrina,1.077077898,103.458322
colubrina,1.493744548,102.958322
colubrina,1.660411208,128.208321
colubrina,1.993744528,124.9583211
colubrina,10.16041087,124.6249878
colubrina,10.74374418,123.7916545
colubrina,10.74374418,124.6249878
colubrina,10.99374417,125.1249878
colubrina,10.99374417,92.20832245
colubrina,11.16041083,120.874988
colubrina,11.16041083,123.6249879
colubrina,11.57707748,123.3749879
colubrina,11.99374413,121.3749879
colubrina,12.41041078,123.2083212
colubrina,13.07707742,92.6249891
colubrina,13.16041075,122.8749879
colubrina,13.16041075,123.9583212
colubrina,13.49374407,94.20832237
colubrina,13.66041073,93.04165575
colubrina,14.24374404,93.37498907
colubrina,14.57707736,120.7083213
colubrina,14.66041069,120.124988
colubrina,16.24374396,120.0416547
colubrina,18.91041052,121.2916546
colubrina,18.99374385,93.4583224
colubrina,2.160411188,97.04165558
colubrina,2.243744518,128.208321
colubrina,2.410411178,125.2916545
colubrina,2.493744508,96.04165563
colubrina,2.910411158,95.70832231
colubrina,22.41041038,120.374988
colubrina,24.82707695,125.3749878
colubrina,26.32707689,127.708321
colubrina,28.32707681,129.6249876
colubrina,32.24374332,130.1249876
colubrina,32.7437433,129.7916543
colubrina,4.660411088,113.9583216
colubrina,4.743744418,119.374988
colubrina,4.910411078,120.2916547
colubrina,4.993744408,100.2083221
colubrina,4.993744408,114.6249882
colubrina,5.327077728,115.1249882
colubrina,5.327077728,96.87498893
colubrina,5.493744388,120.874988
colubrina,5.743744378,121.4583213
colubrina,5.743744378,95.20832233
colubrina,5.993744368,120.7083213
colubrina,6.077077698,100.0416555
colubrina,6.327077688,121.9583213
colubrina,6.577077678,123.8749878
colubrina,6.827077668,122.2916546
colubrina,7.160410988,93.95832238
colubrina,7.327077648,121.8749879
colubrina,7.993744288,93.4583224
colubrina,8.243744278,124.1249878
colubrina,8.660410928,123.5416545
colubrina,8.827077588,117.3749881
colubrina,9.077077578,92.70832242
