Species,Lat,Long
laticaudata,32.85,126.35
laticaudata,33.279167,126.745
laticaudata,33.616667,127.15
laticaudata,1.45275,124.74845
laticaudata,24.724608,125.256005
laticaudata,-8.153673,110.617797
laticaudata,-22.6710945,167.4235799
laticaudata,12.44039272,123.2073283
laticaudata,-18.67371331,-173.9851368
laticaudata,-21.62468101,165.4281091
laticaudata,7.6551839,98.7657239
laticaudata,-8.478350474,125.9300262
laticaudata,-22.31143478,166.4347618
laticaudata,3.220769944,106.192304
laticaudata,26.91925295,128.2624994
laticaudata,23.1250195,121.4200583
laticaudata,12.70396376,124.3869002
laticaudata,-8.788949305,115.1322187
laticaudata,8.110807663,98.2905399
laticaudata,11.44741812,124.019126
laticaudata,4.253618,118.6334677
laticaudata,30.41039551,130.32397
laticaudata,-17.71116704,168.263284
laticaudata,-20.81341152,167.1250772
laticaudata,-19.14187328,-169.9107798
laticaudata,-22.8465873,166.8770918
laticaudata,10.28371587,124.002728
laticaudata,-0.456077637,130.7396027
laticaudata,26.51191182,127.8609234
laticaudata,-7.706989158,108.6444843
laticaudata,24.59071785,124.0612271
laticaudata,12.82231186,92.95688054
laticaudata,21.93309667,120.8235467
laticaudata,-20.79679845,165.2636212
laticaudata,9.471238384,123.6917013
laticaudata,-21.96046661,165.9924445
laticaudata,28.13868307,129.3162942
laticaudata,1.498038513,125.2615728
laticaudata,-7.719308532,107.8353763
laticaudata,26.228705,127.3031783
laticaudata,-18.43340552,178.0748663
laticaudata,8.82687588,97.79868205
laticaudata,20.41799156,121.8772213
laticaudata,22.00764461,121.5255465
laticaudata,9.075543224,123.2743868
laticaudata,-20.12666183,164.1086278
laticaudata,11.94527907,121.9203131
laticaudata,25.12420814,121.9051612
laticaudata,-20.57536697,164.2843018
laticaudata,-8.269598755,124.4196579
laticaudata,13.52424439,120.9907343
laticaudata,9.724795596,124.5498141
laticaudata,-6.30396,129.9886
laticaudata,-5.427812,130.481474
laticaudata,22.69870753,121.5014798
laticaudata,-9.977756302,147.4743082
laticaudata,-5.296578075,146.0034462
laticaudata,-9.274300557,159.9148165
laticaudata,-2.286640162,147.1758725
laticaudata,-0.994839613,134.1512828
laticaudata,-3.228844523,135.3620793
laticaudata,-2.555232355,150.6974146
laticaudata,-7.313151209,157.7490255
laticaudata,-8.813856797,160.6481158
laticaudata,-0.006255392,119.874988
laticaudata,-1.589588662,149.6249868
laticaudata,-10.00625499,160.0416531
laticaudata,-10.08958832,123.5416545
laticaudata,-11.25625494,159.7916531
laticaudata,-15.00625479,168.0416527
laticaudata,-15.67292143,-175.7083335
laticaudata,-16.25625474,179.1249856
laticaudata,-16.83958805,178.2916523
laticaudata,-18.17292133,178.458319
laticaudata,-18.67292131,178.5416523
laticaudata,-19.7562546,163.6249863
laticaudata,-2.006255312,146.5416536
laticaudata,-2.506255292,135.2916541
laticaudata,-20.5895879,164.8749862
laticaudata,-20.5895879,166.4583195
laticaudata,-21.58958786,167.7916528
laticaudata,-22.33958783,167.0416528
laticaudata,-5.422921842,133.0416541
laticaudata,-8.422921722,121.2916546
laticaudata,-9.089588362,146.7083203
laticaudata,-9.506255012,147.1249869
laticaudata,0.910411238,128.458321
laticaudata,10.74374418,123.7916545
laticaudata,11.57707748,123.2916545
laticaudata,13.32707741,123.9583212
laticaudata,14.16041071,123.0416545
laticaudata,17.66041057,94.45832236
laticaudata,2.160411188,102.2916554
laticaudata,26.0770769,127.8749877
laticaudata,5.327077728,96.87498893
laticaudata,5.827077708,95.20832233
laticaudata,5.910411038,121.2083213
laticaudata,7.243744318,93.70832239
laticaudata,9.160410908,92.87498909
